State,Action,QValue
HPState: 1; ManaState: 7; LevelState: 1,GetHealthPotion(HealthPotion1),-4.851447
HPState: 1; ManaState: 7; LevelState: 1,LevelUp,-0.7275441
HPState: 1; ManaState: 7; LevelState: 1,DivineSmite(Skelleton4),1.57753
HPState: 1; ManaState: 7; LevelState: 1,GetHealthPotion(HealthPotion0),-30.80229
HPState: 1; ManaState: 7; LevelState: 1,GetManaPotion(ManaPotion1),-5.54814
HPState: 0; ManaState: 0; LevelState: 2,PickUpChest(Chest3),-34.834
HPState: 0; ManaState: 0; LevelState: 2,PickUpChest(Chest1),-24.96292
HPState: 0; ManaState: 0; LevelState: 2,GetHealthPotion(HealthPotion0),-3.782372
HPState: 0; ManaState: 0; LevelState: 2,PickUpChest(Chest4),-43.82508
HPState: 0; ManaState: 0; LevelState: 2,GetManaPotion(ManaPotion0),-8.307755
HPState: 0; ManaState: 0; LevelState: 2,GetHealthPotion(HealthPotion1),4.10903
HPState: 0; ManaState: 0; LevelState: 2,PickUpChest(Chest2),-1.71132
HPState: 0; ManaState: 0; LevelState: 2,GetManaPotion(ManaPotion1),-21.4808
HPState: 0; ManaState: 0; LevelState: 2,PickUpChest(Chest0),8.550947
HPState: 0; ManaState: 0; LevelState: 2,DivineSmite(Skelleton4),-0.0948
HPState: 0; ManaState: 0; LevelState: 2,DivineSmite(Skelleton1),-4.660334
HPState: 0; ManaState: 0; LevelState: 2,LevelUp,-0.255
HPState: 0; ManaState: 0; LevelState: 2,DivineSmite(Skelleton3),0.2617769
HPState: 0; ManaState: 0; LevelState: 2,DivineSmite(Skelleton2),-0.09
HPState: 2; ManaState: 7; LevelState: 2,PickUpChest(Chest1),-3.852698
HPState: 2; ManaState: 7; LevelState: 2,DivineSmite(Skelleton1),7.685976
HPState: 2; ManaState: 7; LevelState: 2,GetHealthPotion(HealthPotion1),-8.669099
HPState: 2; ManaState: 7; LevelState: 2,GetHealthPotion(HealthPotion0),-14.0336
HPState: 2; ManaState: 7; LevelState: 2,PickUpChest(Chest0),7.326447
HPState: 2; ManaState: 7; LevelState: 2,PickUpChest(Chest2),2.135883
HPState: 2; ManaState: 7; LevelState: 2,PickUpChest(Chest4),-42.58052
HPState: 2; ManaState: 7; LevelState: 2,PickUpChest(Chest3),-15.48108
HPState: 2; ManaState: 7; LevelState: 2,ShieldOfFaith,4.579564
HPState: 2; ManaState: 7; LevelState: 2,DivineSmite(Skelleton4),12.26391
HPState: 2; ManaState: 7; LevelState: 2,Teleport,24.00566
HPState: 2; ManaState: 7; LevelState: 2,DivineSmite(Skelleton2),4.549556
HPState: 2; ManaState: 7; LevelState: 2,DivineSmite(Skelleton0),-0.004499187
HPState: 2; ManaState: 7; LevelState: 2,GetManaPotion(ManaPotion0),0.8889693
HPState: 2; ManaState: 7; LevelState: 2,DivineSmite(Skelleton3),5.600562
HPState: 2; ManaState: 7; LevelState: 2,LevelUp,-4.886067
HPState: 2; ManaState: 7; LevelState: 2,GetManaPotion(ManaPotion1),0.9767224
HPState: 13; ManaState: 0; LevelState: 2,PickUpChest(Chest1),17.72744
HPState: 13; ManaState: 0; LevelState: 2,PickUpChest(Chest3),20.17504
HPState: 13; ManaState: 0; LevelState: 2,PickUpChest(Chest4),22.83039
HPState: 13; ManaState: 0; LevelState: 2,PickUpChest(Chest2),7.119165
HPState: 13; ManaState: 0; LevelState: 2,PickUpChest(Chest0),3.332841
HPState: 13; ManaState: 0; LevelState: 2,DivineSmite(Skelleton4),2.436503
HPState: 13; ManaState: 0; LevelState: 2,GetManaPotion(ManaPotion1),3.473812
HPState: 13; ManaState: 0; LevelState: 2,LevelUp,14.93888
HPState: 13; ManaState: 0; LevelState: 2,DivineSmite(Skelleton0),-0.24
HPState: 13; ManaState: 0; LevelState: 2,GetHealthPotion(HealthPotion1),0.63173
HPState: 13; ManaState: 0; LevelState: 2,GetManaPotion(ManaPotion0),1.372237
HPState: 13; ManaState: 0; LevelState: 2,DivineSmite(Skelleton2),1.214761
HPState: 13; ManaState: 0; LevelState: 2,GetHealthPotion(HealthPotion0),4.580677
HPState: 13; ManaState: 0; LevelState: 2,DivineSmite(Skelleton1),0.3566124
HPState: 13; ManaState: 0; LevelState: 2,DivineSmite(Skelleton3),4.02361
HPState: 13; ManaState: 7; LevelState: 2,ShieldOfFaith,-0.4766296
HPState: 13; ManaState: 7; LevelState: 2,DivineSmite(Skelleton2),-1.231985
HPState: 13; ManaState: 7; LevelState: 2,PickUpChest(Chest4),-1.886789
HPState: 13; ManaState: 7; LevelState: 2,Teleport,7.152664
HPState: 13; ManaState: 7; LevelState: 2,PickUpChest(Chest3),-2.540484
HPState: 13; ManaState: 7; LevelState: 2,PickUpChest(Chest1),-2.588181
HPState: 13; ManaState: 7; LevelState: 2,GetManaPotion(ManaPotion1),-0.5024361
HPState: 13; ManaState: 7; LevelState: 2,LevelUp,-1.411445
HPState: 13; ManaState: 7; LevelState: 2,DivineSmite(Skelleton1),0.2075763
HPState: 13; ManaState: 7; LevelState: 2,PickUpChest(Chest0),-1.593261
HPState: 13; ManaState: 7; LevelState: 2,PickUpChest(Chest2),-1.833587
HPState: 13; ManaState: 7; LevelState: 2,DivineSmite(Skelleton3),-0.2803628
HPState: 13; ManaState: 7; LevelState: 2,GetHealthPotion(HealthPotion1),-0.8591543
HPState: 13; ManaState: 7; LevelState: 2,DivineSmite(Skelleton4),-1.519863
HPState: 13; ManaState: 7; LevelState: 2,GetHealthPotion(HealthPotion0),-2.116659
HPState: 13; ManaState: 7; LevelState: 2,GetManaPotion(ManaPotion0),-0.1195914
HPState: 13; ManaState: 7; LevelState: 2,DivineSmite(Skelleton0),-0.0233254
HPState: 13; ManaState: 0; LevelState: 3,PickUpChest(Chest2),14.32258
HPState: 13; ManaState: 0; LevelState: 3,PickUpChest(Chest0),6.965484
HPState: 13; ManaState: 0; LevelState: 3,PickUpChest(Chest4),31.79299
HPState: 13; ManaState: 0; LevelState: 3,PickUpChest(Chest3),28.17445
HPState: 13; ManaState: 0; LevelState: 3,PickUpChest(Chest1),23.80015
HPState: 13; ManaState: 0; LevelState: 3,GetManaPotion(ManaPotion1),0.5826036
HPState: 13; ManaState: 0; LevelState: 3,GetHealthPotion(HealthPotion0),-5.38
HPState: 13; ManaState: 0; LevelState: 3,GetManaPotion(ManaPotion0),1.964845
HPState: 13; ManaState: 0; LevelState: 3,DivineSmite(Skelleton2),-5.4
HPState: 13; ManaState: 0; LevelState: 3,DivineSmite(Skelleton3),-5.442473
HPState: 13; ManaState: 0; LevelState: 3,DivineSmite(Skelleton4),0.8148723
HPState: 13; ManaState: 0; LevelState: 3,GetHealthPotion(HealthPotion1),0.4003223
HPState: 13; ManaState: 0; LevelState: 3,DivineSmite(Skelleton1),2.02538
HPState: 13; ManaState: 7; LevelState: 3,PickUpChest(Chest4),-0.6125913
HPState: 13; ManaState: 7; LevelState: 3,Teleport,4.758294
HPState: 13; ManaState: 7; LevelState: 3,ShieldOfFaith,-0.5419633
HPState: 13; ManaState: 7; LevelState: 3,DivineSmite(Skelleton4),0.209355
HPState: 13; ManaState: 7; LevelState: 3,PickUpChest(Chest3),-0.9406153
HPState: 13; ManaState: 7; LevelState: 3,DivineSmite(Skelleton3),0.2408223
HPState: 13; ManaState: 7; LevelState: 3,PickUpChest(Chest1),-0.4900062
HPState: 13; ManaState: 7; LevelState: 3,DivineSmite(Skelleton2),1.332967
HPState: 13; ManaState: 7; LevelState: 3,GetHealthPotion(HealthPotion0),0.486274
HPState: 13; ManaState: 7; LevelState: 3,PickUpChest(Chest2),0.006381326
HPState: 1; ManaState: 7; LevelState: 3,PickUpChest(Chest0),0.5514373
HPState: 1; ManaState: 7; LevelState: 3,PickUpChest(Chest3),-10.3065
HPState: 1; ManaState: 7; LevelState: 3,PickUpChest(Chest4),-10.23673
HPState: 1; ManaState: 7; LevelState: 3,GetManaPotion(ManaPotion0),-0.1541726
HPState: 1; ManaState: 7; LevelState: 3,Teleport,-0.209055
HPState: 1; ManaState: 7; LevelState: 3,ShieldOfFaith,10.1244
HPState: 1; ManaState: 7; LevelState: 3,PickUpChest(Chest2),-0.5025092
HPState: 1; ManaState: 7; LevelState: 3,GetManaPotion(ManaPotion1),0.3160001
HPState: 1; ManaState: 7; LevelState: 3,GetHealthPotion(HealthPotion0),-4.876813
HPState: 1; ManaState: 7; LevelState: 3,GetHealthPotion(HealthPotion1),-0.2603596
HPState: 1; ManaState: 7; LevelState: 3,PickUpChest(Chest1),-1.447036
HPState: 1; ManaState: 7; LevelState: 3,DivineSmite(Skelleton3),0.06243047
HPState: 1; ManaState: 7; LevelState: 3,DivineSmite(Skelleton2),-0.5199314
HPState: 1; ManaState: 7; LevelState: 3,DivineSmite(Skelleton4),0.9664443
HPState: 1; ManaState: 7; LevelState: 3,DivineSmite(Skelleton1),-0.4078454
HPState: 0; ManaState: 7; LevelState: 2,DivineSmite(Skelleton1),-7.243946
HPState: 0; ManaState: 7; LevelState: 2,DivineSmite(Skelleton3),-9.044771
HPState: 0; ManaState: 7; LevelState: 2,DivineSmite(Skelleton2),-0.4275735
HPState: 0; ManaState: 7; LevelState: 2,PickUpChest(Chest4),-40.63368
HPState: 0; ManaState: 7; LevelState: 2,PickUpChest(Chest0),0.5565228
HPState: 0; ManaState: 7; LevelState: 2,DivineSmite(Skelleton4),-4.246463
HPState: 0; ManaState: 7; LevelState: 2,PickUpChest(Chest3),-2.742188
HPState: 0; ManaState: 7; LevelState: 2,PickUpChest(Chest2),1.031492
HPState: 0; ManaState: 7; LevelState: 2,PickUpChest(Chest1),-4.130618
HPState: 0; ManaState: 7; LevelState: 2,ShieldOfFaith,15.32139
HPState: 0; ManaState: 7; LevelState: 2,GetHealthPotion(HealthPotion0),-9.155886
HPState: 0; ManaState: 7; LevelState: 2,GetManaPotion(ManaPotion0),-0.06359059
HPState: 0; ManaState: 7; LevelState: 2,GetHealthPotion(HealthPotion1),-9.637591
HPState: 0; ManaState: 7; LevelState: 2,DivineSmite(Skelleton0),-5.033617
HPState: 0; ManaState: 7; LevelState: 2,Teleport,-0.0566079
HPState: 0; ManaState: 7; LevelState: 2,GetManaPotion(ManaPotion1),0.7192917
HPState: 2; ManaState: 0; LevelState: 3,PickUpChest(Chest4),42.60641
HPState: 2; ManaState: 0; LevelState: 3,GetManaPotion(ManaPotion1),7.679562
HPState: 2; ManaState: 0; LevelState: 3,PickUpChest(Chest3),44.57049
HPState: 2; ManaState: 0; LevelState: 3,PickUpChest(Chest2),18.24274
HPState: 2; ManaState: 0; LevelState: 3,PickUpChest(Chest0),19.96981
HPState: 2; ManaState: 0; LevelState: 3,GetManaPotion(ManaPotion0),4.638552
HPState: 2; ManaState: 0; LevelState: 3,PickUpChest(Chest1),44.84336
HPState: 2; ManaState: 0; LevelState: 3,GetHealthPotion(HealthPotion0),1.927702
HPState: 2; ManaState: 0; LevelState: 3,DivineSmite(Skelleton2),4.579083
