State,Action,QValue
HPState: 0; ManaState: 0; LevelState: 2,SwordAttack(Orc2),-12.59227
HPState: 0; ManaState: 0; LevelState: 2,SwordAttack(Orc1),-13.84398
HPState: 0; ManaState: 0; LevelState: 2,GetHealthPotion(HealthPotion0),-5.013346
HPState: 0; ManaState: 0; LevelState: 2,GetHealthPotion(HealthPotion1),-0.04330209
HPState: 0; ManaState: 0; LevelState: 2,SwordAttack(Skelleton4),-11.17685
HPState: 0; ManaState: 0; LevelState: 2,PickUpChest(Chest2),-5.733193
HPState: 0; ManaState: 0; LevelState: 2,SwordAttack(Skelleton3),-9.64537
HPState: 0; ManaState: 0; LevelState: 2,LevelUp,-0.315
HPState: 0; ManaState: 7; LevelState: 2,ShieldOfFaith,-0.7344427
HPState: 0; ManaState: 7; LevelState: 2,SwordAttack(Mighty Dragon),-9.557036
HPState: 0; ManaState: 7; LevelState: 2,GetManaPotion(ManaPotion1),-0.00581495
HPState: 0; ManaState: 7; LevelState: 2,SwordAttack(Orc1),-9.842751
HPState: 0; ManaState: 7; LevelState: 2,SwordAttack(Orc0),-4.845
HPState: 0; ManaState: 7; LevelState: 2,Teleport,-0.6049929
HPState: 0; ManaState: 7; LevelState: 2,GetHealthPotion(HealthPotion0),-0.3547394
HPState: 0; ManaState: 7; LevelState: 2,DivineSmite(Skelleton4),-5.0285
HPState: 0; ManaState: 7; LevelState: 2,PickUpChest(Chest1),-9.215383
HPState: 0; ManaState: 7; LevelState: 2,PickUpChest(Chest4),-5.095
HPState: 0; ManaState: 7; LevelState: 2,PickUpChest(Chest2),-0.05379938
HPState: 0; ManaState: 7; LevelState: 2,SwordAttack(Skelleton2),-5.05
HPState: 0; ManaState: 7; LevelState: 2,SwordAttack(Skelleton0),-5
HPState: 0; ManaState: 7; LevelState: 2,PickUpChest(Chest3),-5.1235
HPState: 0; ManaState: 7; LevelState: 2,SwordAttack(Skelleton3),-9.805
HPState: 0; ManaState: 7; LevelState: 2,PickUpChest(Chest0),-4.56725
HPState: 0; ManaState: 7; LevelState: 2,GetManaPotion(ManaPotion0),-0.13
HPState: 0; ManaState: 7; LevelState: 2,DivineSmite(Skelleton3),-4.865125
HPState: 0; ManaState: 7; LevelState: 2,SwordAttack(Skelleton4),-0.007484463
HPState: 0; ManaState: 7; LevelState: 2,DivineSmite(Skelleton0),-0.08800001
HPState: 0; ManaState: 7; LevelState: 2,DivineSmite(Skelleton2),-0.045
HPState: 0; ManaState: 7; LevelState: 2,DivineSmite(Skelleton1),0
HPState: 0; ManaState: 7; LevelState: 2,SwordAttack(Orc2),-5
HPState: 0; ManaState: 7; LevelState: 2,SwordAttack(Skelleton1),-5.09
HPState: 0; ManaState: 7; LevelState: 2,LevelUp,-0.4202529
HPState: 2; ManaState: 7; LevelState: 2,DivineSmite(Skelleton4),-5.210163
HPState: 2; ManaState: 7; LevelState: 2,Teleport,-1.830093
HPState: 2; ManaState: 7; LevelState: 2,SwordAttack(Skelleton4),-0.1874622
HPState: 2; ManaState: 7; LevelState: 2,PickUpChest(Chest2),-1.467203
HPState: 2; ManaState: 7; LevelState: 2,SwordAttack(Skelleton3),-1.015907
HPState: 2; ManaState: 7; LevelState: 2,PickUpChest(Chest4),-33.87444
HPState: 2; ManaState: 7; LevelState: 2,SwordAttack(Skelleton0),-0.1779939
HPState: 2; ManaState: 7; LevelState: 2,SwordAttack(Orc0),-12.47005
HPState: 2; ManaState: 7; LevelState: 2,SwordAttack(Mighty Dragon),-22.33185
HPState: 2; ManaState: 7; LevelState: 2,SwordAttack(Skelleton2),-0.1230728
HPState: 2; ManaState: 7; LevelState: 2,PickUpChest(Chest0),-1.268026
HPState: 2; ManaState: 7; LevelState: 2,SwordAttack(Orc1),-4.339757
